epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.46763,0.89812,0.57388,1.45769,0.94777,0.98304,0.995,0.85077,0.7168,0.42649,1.372,0,0,0
2,8.87177,1.0194,1.02214,1.46242,0.96832,0.96023,0.995,0.85077,0.71662,0.4341,1.37203,5.20793e-06,5.20793e-06,5.20793e-06
3,11.5759,0.56471,0.68146,1.19118,0.97813,0.94859,0.995,0.85077,0.71809,0.43441,1.36935,1.03117e-05,1.03117e-05,1.03117e-05
4,15.1765,0.93266,1.13882,1.50174,0.97675,0.94717,0.995,0.8391,0.71632,0.43476,1.37224,1.53113e-05,1.53113e-05,1.53113e-05
5,18.3754,0.88536,0.61406,1.65801,0.97486,0.94867,0.995,0.8391,0.71629,0.43545,1.37764,2.02068e-05,2.02068e-05,2.02068e-05
6,21.6973,1.05877,0.70266,1.78939,0.93977,0.91667,0.97833,0.82754,0.71915,0.44201,1.37483,2.49982e-05,2.49982e-05,2.49982e-05
7,24.924,0.86591,0.73451,1.26373,0.93572,0.91667,0.97833,0.82754,0.71622,0.44568,1.37244,2.96853e-05,2.96853e-05,2.96853e-05
8,27.899,0.78196,0.82462,1.49167,0.93318,0.91667,0.97833,0.82781,0.71448,0.4491,1.36998,3.42684e-05,3.42684e-05,3.42684e-05
9,30.5202,1.06353,1.35376,1.30816,0.93193,0.91667,0.97833,0.82767,0.7136,0.45629,1.365,3.87473e-05,3.87473e-05,3.87473e-05
10,33.8943,0.88557,0.62147,1.44538,0.96115,0.95029,0.995,0.84767,0.71126,0.47163,1.35788,4.3122e-05,4.3122e-05,4.3122e-05
11,37.7726,0.77059,0.52591,1.45024,0.95952,0.94884,0.995,0.83964,0.70938,0.47964,1.35593,4.73926e-05,4.73926e-05,4.73926e-05
12,41.1934,0.74074,0.5948,1.58598,0.95676,0.94955,0.995,0.83964,0.70646,0.48871,1.35667,5.1559e-05,5.1559e-05,5.1559e-05
13,44.9011,1.22915,0.77892,1.05144,0.95495,0.94966,0.995,0.85254,0.7055,0.49202,1.34803,5.56213e-05,5.56213e-05,5.56213e-05
14,48.1996,0.8708,0.5158,1.52761,0.95295,0.95042,0.995,0.85218,0.70341,0.4992,1.34998,5.95795e-05,5.95795e-05,5.95795e-05
15,51.8609,0.91715,0.60414,1.25652,0.94962,0.95205,0.995,0.85254,0.69743,0.50367,1.35025,6.34335e-05,6.34335e-05,6.34335e-05
16,55.1515,0.78769,0.57042,1.22142,0.94459,0.95426,0.995,0.85278,0.69735,0.5168,1.34853,6.71834e-05,6.71834e-05,6.71834e-05
17,58.8009,0.74592,0.58973,1.25517,0.93492,0.96118,0.995,0.8451,0.69727,0.53278,1.35119,7.08291e-05,7.08291e-05,7.08291e-05
18,62.7114,0.83559,0.55158,1.21568,0.93492,0.96118,0.995,0.8451,0.69727,0.53278,1.35119,7.43706e-05,7.43706e-05,7.43706e-05
19,67.529,1.06045,0.70234,1.18666,0.92165,0.96687,0.995,0.84523,0.69591,0.57036,1.34909,7.7808e-05,7.7808e-05,7.7808e-05
20,70.9068,0.78991,0.59237,1.4156,0.92165,0.96687,0.995,0.84523,0.69591,0.57036,1.34909,8.11413e-05,8.11413e-05,8.11413e-05
21,74.7956,0.78869,0.61954,1.45072,0.8455,0.91667,0.97833,0.83058,0.7041,0.61171,1.35963,8.43704e-05,8.43704e-05,8.43704e-05
22,78.3633,0.9538,0.65561,1.67945,0.8455,0.91667,0.97833,0.83058,0.7041,0.61171,1.35963,8.74954e-05,8.74954e-05,8.74954e-05
23,81.838,0.90487,0.58826,1.56047,0.82426,0.91667,0.96722,0.82392,0.7141,0.64861,1.3674,9.05162e-05,9.05162e-05,9.05162e-05
24,85.1752,0.85141,0.6234,1.25007,0.82426,0.91667,0.96722,0.82392,0.7141,0.64861,1.3674,9.34329e-05,9.34329e-05,9.34329e-05
25,89.0833,0.84249,0.55267,1.21865,0.81554,0.91667,0.95929,0.8189,0.72896,0.68184,1.36801,9.62454e-05,9.62454e-05,9.62454e-05
26,93.7633,0.74279,0.51909,1.16385,0.81554,0.91667,0.95929,0.8189,0.72896,0.68184,1.36801,9.89537e-05,9.89537e-05,9.89537e-05
27,98.3175,0.92271,0.70226,1.28162,0.78444,0.91667,0.95929,0.8189,0.7442,0.76087,1.38518,0.000101558,0.000101558,0.000101558
